"Timestep","State Class","pct_area_mean","pct_area_sd"
1985,"Low Shrub:All",0.729917781392632,0
1985,"No Shrub:All",0.0257976200457855,0
1985,"Shrubland:All",0.244284598561583,0
1986,"Low Shrub:All",0.73579510574734,0.00253951915695677
1986,"No Shrub:All",0.0260944524007361,0.000396380108905905
1986,"Shrubland:All",0.238110441851772,0.00248829339239433
1987,"Low Shrub:All",0.732428576455835,0.00591553004433854
1987,"No Shrub:All",0.0235347075710862,0.000606611112353771
1987,"Shrubland:All",0.244036715972998,0.00597549969739897
1988,"Low Shrub:All",0.739746530088311,0.00598190466362735
1988,"No Shrub:All",0.0238041863593234,0.00067844407614724
1988,"Shrubland:All",0.236449283552084,0.00592415087825355
1989,"Low Shrub:All",0.746348286692517,0.00622220576975484
1989,"No Shrub:All",0.0241086952036893,0.000701906674189207
1989,"Shrubland:All",0.22954301810333,0.00615965149984735
1990,"Low Shrub:All",0.753682880816282,0.00513371291336403
1990,"No Shrub:All",0.0240346267979082,0.000613272917808573
1990,"Shrubland:All",0.22228249238514,0.0050887255005443
1991,"Low Shrub:All",0.759710236812203,0.00615789408352624
1991,"No Shrub:All",0.0242071777609343,0.000679181272390596
1991,"Shrubland:All",0.216082585426025,0.00596522955701188
1992,"Low Shrub:All",0.755346055409001,0.00856131379657086
1992,"No Shrub:All",0.021281074903214,0.00075559208025785
1992,"Shrubland:All",0.223372869687043,0.00831997554593173
1993,"Low Shrub:All",0.762720902516814,0.00850970625578581
1993,"No Shrub:All",0.0213882542427707,0.000708576526617079
1993,"Shrubland:All",0.21589084323946,0.00841713668654774
1994,"Low Shrub:All",0.769156084159246,0.00847094236016953
1994,"No Shrub:All",0.0216393191734864,0.000534789894310051
1994,"Shrubland:All",0.209204596666129,0.00836553626579779
1995,"Low Shrub:All",0.775973657003827,0.00816984747672065
1995,"No Shrub:All",0.0217173472874157,0.000607711748153984
1995,"Shrubland:All",0.202308995707417,0.00828196950763855
1996,"Low Shrub:All",0.782019135344986,0.0089910391419954
1996,"No Shrub:All",0.0218443251677109,0.000586037122281013
1996,"Shrubland:All",0.196136539485767,0.0091724895111594
1997,"Low Shrub:All",0.787500245957999,0.00864699321740574
1997,"No Shrub:All",0.0219724205116551,0.000736564218428852
1997,"Shrubland:All",0.190527333528614,0.0089254064743243
1998,"Low Shrub:All",0.792857026593699,0.00832141205119291
1998,"No Shrub:All",0.0220819319492619,0.000770105552947434
1998,"Shrubland:All",0.1850610414551,0.0085722952719109
1999,"Low Shrub:All",0.799156412110022,0.00761060551839924
1999,"No Shrub:All",0.022126751958664,0.000607473010079005
1999,"Shrubland:All",0.178716835929129,0.00801165376073631
2000,"Low Shrub:All",0.805099010917367,0.00722382764596494
2000,"No Shrub:All",0.02218430133659,0.000657117120710864
2000,"Shrubland:All",0.172716687743625,0.0075743117395531
2001,"Low Shrub:All",0.811567182030065,0.00798218580712677
2001,"No Shrub:All",0.0221833053363811,0.0006240992575724
2001,"Shrubland:All",0.166249512630882,0.00828822625880747
2002,"Low Shrub:All",0.818240286258896,0.00768910802142828
2002,"No Shrub:All",0.0235658022117583,0.000740214559337943
2002,"Shrubland:All",0.158193911526393,0.00801981564325562
2003,"Low Shrub:All",0.823288501171341,0.00784231112828403
2003,"No Shrub:All",0.0233845301737322,0.000727352704951674
2003,"Shrubland:All",0.153326968651777,0.00807220479851953
2004,"Low Shrub:All",0.827588744219592,0.00732686617577382
2004,"No Shrub:All",0.0232132424304835,0.0006244233328938
2004,"Shrubland:All",0.149198013346605,0.00763163421337462
2005,"Low Shrub:All",0.822153279567389,0.00463378604445406
2005,"No Shrub:All",0.0205150292791047,0.00073740970298056
2005,"Shrubland:All",0.157331691150399,0.00516795513961832
2006,"Low Shrub:All",0.828242824844581,0.00461479231076895
2006,"No Shrub:All",0.0205217340609989,0.000800208723120443
2006,"Shrubland:All",0.151235441091077,0.00521517708758096
2007,"Low Shrub:All",0.824377590960736,0.00595083504443252
2007,"No Shrub:All",0.0180193928531479,0.00075281537105984
2007,"Shrubland:All",0.157603016182925,0.00624567613766301
2008,"Low Shrub:All",0.829605207374224,0.0061185527321847
2008,"No Shrub:All",0.0183749163423613,0.000749870689755094
2008,"Shrubland:All",0.152019876280021,0.00656001719403975
2009,"Low Shrub:All",0.834210299364463,0.00642555938535775
2009,"No Shrub:All",0.0186594323044841,0.000655814251751793
2009,"Shrubland:All",0.147130268327479,0.00683076066649186
2010,"Low Shrub:All",0.839505400865274,0.0069933576372801
2010,"No Shrub:All",0.0189101571375671,0.000633609178906634
2010,"Shrubland:All",0.141584441993378,0.00733277564473352
2011,"Low Shrub:All",0.845288736809931,0.00660419376579299
2011,"No Shrub:All",0.0204713753187279,0.000788880805959408
2011,"Shrubland:All",0.134239887867316,0.00709246479869556
2012,"Low Shrub:All",0.850722379510514,0.00615323485353706
2012,"No Shrub:All",0.0219046682047605,0.000882925838700651
2012,"Shrubland:All",0.12737295228047,0.00661073944680521
2013,"Low Shrub:All",0.855492564608531,0.00596327700982257
2013,"No Shrub:All",0.0232449200956654,0.000923368039711276
2013,"Shrubland:All",0.121262515291343,0.00644781068549814
2014,"Low Shrub:All",0.859240221882352,0.00595216362552143
2014,"No Shrub:All",0.0230663688386978,0.000820201635215473
2014,"Shrubland:All",0.117693409274344,0.00629627715357189
2015,"Low Shrub:All",0.854671860436409,0.0063311690403538
2015,"No Shrub:All",0.0197940465912768,0.00082326855438728
2015,"Shrubland:All",0.125534092967896,0.00664914295030189
2016,"Low Shrub:All",0.858352056915595,0.00600058846885612
2016,"No Shrub:All",0.0200470063516579,0.000806330048235435
2016,"Shrubland:All",0.121600936728188,0.00635745476579621
2017,"Low Shrub:All",0.861919729663862,0.0057941369806141
2017,"No Shrub:All",0.0202093058003379,0.000771716419673411
2017,"Shrubland:All",0.117870964531103,0.00603141138538139
2018,"Low Shrub:All",0.86494506815204,0.00559174362181642
2018,"No Shrub:All",0.0203341702167749,0.000697233235909305
2018,"Shrubland:All",0.11472076162637,0.00600326880057094
2019,"Low Shrub:All",0.86807119700282,0.00521928670315048
2019,"No Shrub:All",0.0205098792292436,0.000780901981072499
2019,"Shrubland:All",0.111418923762998,0.00568487480940013
2020,"Low Shrub:All",0.870720824778051,0.00576733251177398
2020,"No Shrub:All",0.0206732475561967,0.00072704595013429
2020,"Shrubland:All",0.10860592766071,0.00617759528386972
