"year","State","soil","pixels","Area_sqkm","SoilName"
2013,"2",4,815224,733.7016,"Gravelly and Calcic"
2013,"2",5,396588,356.9292,"Bedrock and Colluvium"
2013,"2",6,15997,14.3973,"Gypsic"
2013,"2",7,33017,29.7153,"Bottomland"
2013,"2",8,1724255,1551.8295,"Sandy and Deep Sand"
2013,"3",3,8976,8.0784,"Loamy-Clayey"
2013,"3",4,268125,241.3125,"Gravelly and Calcic"
2013,"3",5,243116,218.8044,"Bedrock and Colluvium"
2013,"3",6,2841,2.5569,"Gypsic"
2013,"3",7,7943,7.1487,"Bottomland"
2013,"3",8,336693,303.0237,"Sandy and Deep Sand"
2014,"1",3,14826,13.3434,"Loamy-Clayey"
2014,"1",4,36248,32.6232,"Gravelly and Calcic"
2014,"1",5,12906,11.6154,"Bedrock and Colluvium"
2014,"1",6,1402,1.2618,"Gypsic"
2014,"1",7,3014,2.7126,"Bottomland"
2014,"1",8,73908,66.5172,"Sandy and Deep Sand"
2014,"2",3,123795,111.4155,"Loamy-Clayey"
2014,"2",4,801586,721.4274,"Gravelly and Calcic"
2014,"2",5,388685,349.8165,"Bedrock and Colluvium"
2014,"2",6,15568,14.0112,"Gypsic"
2014,"2",7,32014,28.8126,"Bottomland"
2014,"2",8,1700702,1530.6318,"Sandy and Deep Sand"
2014,"3",3,12216,10.9944,"Loamy-Clayey"
2014,"3",4,280487,252.4383,"Gravelly and Calcic"
2014,"3",5,249760,224.784,"Bedrock and Colluvium"
2014,"3",6,3225,2.9025,"Gypsic"
2014,"3",7,8877,7.9893,"Bottomland"
2014,"3",8,357238,321.5142,"Sandy and Deep Sand"
2015,"1",3,14869,13.3821,"Loamy-Clayey"
2015,"1",4,38523,34.6707,"Gravelly and Calcic"
2015,"1",5,13705,12.3345,"Bedrock and Colluvium"
2015,"1",6,1496,1.3464,"Gypsic"
2015,"1",7,3176,2.8584,"Bottomland"
2015,"1",8,80210,72.189,"Sandy and Deep Sand"
2015,"2",3,122548,110.2932,"Loamy-Clayey"
2015,"2",4,796164,716.5476,"Gravelly and Calcic"
2015,"2",5,389215,350.2935,"Bedrock and Colluvium"
2015,"2",6,15299,13.7691,"Gypsic"
2015,"2",7,31435,28.2915,"Bottomland"
2015,"2",8,1679847,1511.8623,"Sandy and Deep Sand"
2015,"3",3,13420,12.078,"Loamy-Clayey"
2015,"3",4,283634,255.2706,"Gravelly and Calcic"
2015,"3",5,248431,223.5879,"Bedrock and Colluvium"
2015,"3",6,3400,3.06,"Gypsic"
2015,"3",7,9294,8.3646,"Bottomland"
2015,"3",8,371791,334.6119,"Sandy and Deep Sand"
2016,"1",3,14964,13.4676,"Loamy-Clayey"
2016,"1",4,38645,34.7805,"Gravelly and Calcic"
2016,"1",5,13728,12.3552,"Bedrock and Colluvium"
2016,"1",6,1510,1.359,"Gypsic"
2016,"1",7,3187,2.8683,"Bottomland"
2016,"1",8,80487,72.4383,"Sandy and Deep Sand"
2016,"2",3,122029,109.8261,"Loamy-Clayey"
2016,"2",4,795876,716.2884,"Gravelly and Calcic"
2016,"2",5,389324,350.3916,"Bedrock and Colluvium"
2016,"2",6,15263,13.7367,"Gypsic"
2016,"2",7,31360,28.224,"Bottomland"
2016,"2",8,1681161,1513.0449,"Sandy and Deep Sand"
2016,"3",3,13844,12.4596,"Loamy-Clayey"
2016,"3",4,283800,255.42,"Gravelly and Calcic"
2016,"3",5,248299,223.4691,"Bedrock and Colluvium"
2016,"3",6,3422,3.0798,"Gypsic"
2016,"3",7,9358,8.4222,"Bottomland"
2016,"3",8,370200,333.18,"Sandy and Deep Sand"
2017,"1",3,15057,13.5513,"Loamy-Clayey"
2017,"1",4,38598,34.7382,"Gravelly and Calcic"
2017,"1",5,13724,12.3516,"Bedrock and Colluvium"
2017,"1",6,1513,1.3617,"Gypsic"
2017,"1",7,3178,2.8602,"Bottomland"
2017,"1",8,80279,72.2511,"Sandy and Deep Sand"
2017,"2",3,121796,109.6164,"Loamy-Clayey"
2017,"2",4,795870,716.283,"Gravelly and Calcic"
2017,"2",5,389334,350.4006,"Bedrock and Colluvium"
2017,"2",6,15252,13.7268,"Gypsic"
2017,"2",7,31343,28.2087,"Bottomland"
2017,"2",8,1681357,1513.2213,"Sandy and Deep Sand"
2017,"3",3,13984,12.5856,"Loamy-Clayey"
2017,"3",4,283853,255.4677,"Gravelly and Calcic"
2017,"3",5,248293,223.4637,"Bedrock and Colluvium"
2017,"3",6,3430,3.087,"Gypsic"
2017,"3",7,9384,8.4456,"Bottomland"
2017,"3",8,370212,333.1908,"Sandy and Deep Sand"
2018,"1",3,14826,13.3434,"Loamy-Clayey"
2018,"1",4,38282,34.4538,"Gravelly and Calcic"
2018,"1",5,13538,12.1842,"Bedrock and Colluvium"
2018,"1",6,1500,1.35,"Gypsic"
2018,"1",7,3110,2.799,"Bottomland"
2018,"1",8,78547,70.6923,"Sandy and Deep Sand"
2018,"2",3,122515,110.2635,"Loamy-Clayey"
2018,"2",4,796935,717.2415,"Gravelly and Calcic"
2018,"2",5,389718,350.7462,"Bedrock and Colluvium"
2018,"2",6,15325,13.7925,"Gypsic"
2018,"2",7,31604,28.4436,"Bottomland"
2018,"2",8,1686836,1518.1524,"Sandy and Deep Sand"
2018,"3",3,13496,12.1464,"Loamy-Clayey"
2018,"3",4,283104,254.7936,"Gravelly and Calcic"
2018,"3",5,248095,223.2855,"Bedrock and Colluvium"
2018,"3",6,3370,3.033,"Gypsic"
2018,"3",7,9191,8.2719,"Bottomland"
2018,"3",8,366465,329.8185,"Sandy and Deep Sand"
2019,"1",3,14619,13.1571,"Loamy-Clayey"
2019,"1",4,36967,33.2703,"Gravelly and Calcic"
2019,"1",5,12817,11.5353,"Bedrock and Colluvium"
2019,"1",6,1471,1.3239,"Gypsic"
2019,"1",7,3020,2.718,"Bottomland"
2019,"1",8,77178,69.4602,"Sandy and Deep Sand"
2019,"2",3,124622,112.1598,"Loamy-Clayey"
2019,"2",4,803243,722.9187,"Gravelly and Calcic"
2019,"2",5,384949,346.4541,"Bedrock and Colluvium"
2019,"2",6,15519,13.9671,"Gypsic"
2019,"2",7,32558,29.3022,"Bottomland"
2019,"2",8,1697526,1527.7734,"Sandy and Deep Sand"
2019,"3",3,11596,10.4364,"Loamy-Clayey"
2019,"3",4,278111,250.2999,"Gravelly and Calcic"
2019,"3",5,253585,228.2265,"Bedrock and Colluvium"
2019,"3",6,3205,2.8845,"Gypsic"
2019,"3",7,8327,7.4943,"Bottomland"
2019,"3",8,357144,321.4296,"Sandy and Deep Sand"
2020,"1",3,14758,13.2822,"Loamy-Clayey"
2020,"1",4,37937,34.1433,"Gravelly and Calcic"
2020,"1",5,13275,11.9475,"Bedrock and Colluvium"
2020,"1",6,1481,1.3329,"Gypsic"
2020,"1",7,3044,2.7396,"Bottomland"
2020,"1",8,77575,69.8175,"Sandy and Deep Sand"
2020,"2",3,122259,110.0331,"Loamy-Clayey"
2020,"2",4,796919,717.2271,"Gravelly and Calcic"
2020,"2",5,381017,342.9153,"Bedrock and Colluvium"
2020,"2",6,15378,13.8402,"Gypsic"
2020,"2",7,32028,28.8252,"Bottomland"
2020,"2",8,1690869,1521.7821,"Sandy and Deep Sand"
2020,"3",3,13820,12.438,"Loamy-Clayey"
2020,"3",4,283465,255.1185,"Gravelly and Calcic"
2020,"3",5,257059,231.3531,"Bedrock and Colluvium"
2020,"3",6,3336,3.0024,"Gypsic"
2020,"3",7,8833,7.9497,"Bottomland"
2020,"3",8,363404,327.0636,"Sandy and Deep Sand"
