SoilType,yearType,ProportionStart,pred
Bedrock and Colluvium,Wet,0.30000000000000004,0.06277788016234426
Bedrock and Colluvium,Wet,0.4,0.08974590944168766
Bedrock and Colluvium,Wet,0.5,0.12673230274754768
Bedrock and Colluvium,Wet,0.6000000000000001,0.1760141528599234
Bedrock and Colluvium,Wet,0.7000000000000001,0.23921050656926363
Bedrock and Colluvium,Wet,0.8,0.3163846761611065
Bedrock and Colluvium,Wet,0.9,0.40519616055871904
Bedrock and Colluvium,Wet,1,0.5006789543741226
Bottomland,Wet,0,0.021756602773569608
Bottomland,Wet,0.1,0.03786350543947293
Bottomland,Wet,0.2,0.06510115973962355
Bottomland,Wet,0.30000000000000004,0.10969861103315065
Bottomland,Wet,0.4,0.17899802973407233
Bottomland,Wet,0.5,0.2783867328142554
Bottomland,Wet,0.6000000000000001,0.4056915174820069
Bottomland,Wet,0.7000000000000001,0.5470769374174655
Bottomland,Wet,0.8,0.6812538117177996
Bottomland,Wet,0.9,0.790875771274512
Bottomland,Wet,1,0.8699916641563112
Sandy and Deep Sand,Wet,0,0.018625587782746728
Sandy and Deep Sand,Wet,0.1,0.028855987356114027
Sandy and Deep Sand,Wet,0.2,0.04445107570410194
Sandy and Deep Sand,Wet,0.30000000000000004,0.06788530118300463
Sandy and Deep Sand,Wet,0.4,0.1023505555482694
Sandy and Deep Sand,Wet,0.5,0.1514703134793362
Sandy and Deep Sand,Wet,0.6000000000000001,0.2184272969446077
Sandy and Deep Sand,Wet,0.7000000000000001,0.3043656282356591
Sandy and Deep Sand,Wet,0.8,0.4065287718171843
Sandy and Deep Sand,Wet,0.9,0.5174744885531387
Sandy and Deep Sand,Wet,1,0.6267237043132536
Loamy-Clayey,Wet,0,0.027166468918334293
Loamy-Clayey,Wet,0.1,0.04017817057361468
Loamy-Clayey,Wet,0.2,0.05904373816787118
Loamy-Clayey,Wet,0.30000000000000004,0.08597412652512403
Loamy-Clayey,Wet,0.4,0.1235745746886389
Loamy-Clayey,Wet,0.5,0.17448032400457264
Loamy-Clayey,Wet,0.6000000000000001,0.24059952609430169
Loamy-Clayey,Wet,0.7000000000000001,0.32200130681141836
Loamy-Clayey,Wet,0.8,0.41586192876541345
Loamy-Clayey,Wet,0.9,0.516249676957519
Loamy-Clayey,Wet,1,0.6153428769289636
Gravelly and Calcic,Dry,0,0.0030229214078589983
Gravelly and Calcic,Dry,0.1,0.005001439973860463
Gravelly and Calcic,Dry,0.2,0.008264175591003514
Gravelly and Calcic,Dry,0.30000000000000004,0.01362623805595237
Gravelly and Calcic,Dry,0.4,0.02238883721121757
Gravelly and Calcic,Dry,0.5,0.036577425225289666
Gravelly and Calcic,Dry,0.6000000000000001,0.0592131900176936
Gravelly and Calcic,Dry,0.7000000000000001,0.09448321639407285
Gravelly and Calcic,Dry,0.8,0.14746857603469715
Gravelly and Calcic,Dry,0.9,0.22285487702063958
Gravelly and Calcic,Dry,1,0.32221356279601177
Gypsic,Dry,0,0.0024985752363072215
Gypsic,Dry,0.1,0.005157007415394777
Gypsic,Dry,0.2,0.010613859564650201
Gypsic,Dry,0.30000000000000004,0.021718785333622252
Gypsic,Dry,0.4,0.043926577633608375
Gypsic,Dry,0.5,0.08682676139993638
Gypsic,Dry,0.6000000000000001,0.1644194063118688
Gypsic,Dry,0.7000000000000001,0.2893790287384914
Gypsic,Dry,0.8,0.45732969201316986
Gypsic,Dry,0.9,0.6355744662151247
Gypsic,Dry,1,0.7830469126403653
Bedrock and Colluvium,Dry,0,0.0038906626476075683
Bedrock and Colluvium,Dry,0.1,0.006012737810538284
Bedrock and Colluvium,Dry,0.2,0.009281466852584453
Bedrock and Colluvium,Dry,0.30000000000000004,0.014301620717882456
