SoilType,yearType,ProportionStart,pred
Bottomland,Wet,0.1,0.07333329563217841
Bottomland,Wet,0.2,0.08746124092482307
Bottomland,Wet,0.30000000000000004,0.10400550517739075
Bottomland,Wet,0.4,0.1232565948775093
Bottomland,Wet,0.5,0.14549238593477762
Bottomland,Wet,0.6000000000000001,0.1709573814954149
Bottomland,Wet,0.7000000000000001,0.19983708682160656
Bottomland,Wet,0.8,0.23222883370940808
Bottomland,Wet,0.9,0.2681117236949325
Bottomland,Wet,1,0.3073197594751026
Sandy and Deep Sand,Wet,0,0.11059715808512566
Sandy and Deep Sand,Wet,0.1,0.12012541345777546
Sandy and Deep Sand,Wet,0.2,0.13035424261138948
Sandy and Deep Sand,Wet,0.30000000000000004,0.14131418088518574
Sandy and Deep Sand,Wet,0.4,0.1530334532945978
Sandy and Deep Sand,Wet,0.5,0.16553725215750545
Sandy and Deep Sand,Wet,0.6000000000000001,0.17884695913158474
Sandy and Deep Sand,Wet,0.7000000000000001,0.19297932487363456
Sandy and Deep Sand,Wet,0.8,0.20794562421068724
Sandy and Deep Sand,Wet,0.9,0.22375080955411739
Sandy and Deep Sand,Wet,1,0.24039268999597319
Loamy-Clayey,Wet,0,0.1991611344078282
Loamy-Clayey,Wet,0.1,0.203659303022182
Loamy-Clayey,Wet,0.2,0.20823264914561967
Loamy-Clayey,Wet,0.30000000000000004,0.2128812399252093
Loamy-Clayey,Wet,0.4,0.21760508492615024
Loamy-Clayey,Wet,0.5,0.22240413422472513
Loamy-Clayey,Wet,0.6000000000000001,0.22727827654982907
Loamy-Clayey,Wet,0.7000000000000001,0.23222733748066582
Loamy-Clayey,Wet,0.8,0.23725107770836515
Loamy-Clayey,Wet,0.9,0.24234919136941716
Loamy-Clayey,Wet,1,0.2475213044589235
Bedrock and Colluvium,Dry,0,0.024457985754080914
Bedrock and Colluvium,Dry,0.1,0.030955613626954346
Bedrock and Colluvium,Dry,0.2,0.039110228690354944
Bedrock and Colluvium,Dry,0.30000000000000004,0.0493037123451437
Bedrock and Colluvium,Dry,0.4,0.061982595366830706
Bedrock and Colluvium,Dry,0.5,0.07765563860808682
Bedrock and Colluvium,Dry,0.6000000000000001,0.0968824711853512
Bedrock and Colluvium,Dry,0.7000000000000001,0.12024906568669083
Bedrock and Colluvium,Dry,0.8,0.14832574285712444
Bedrock and Colluvium,Dry,0.9,0.18160473148870582
Bedrock and Colluvium,Dry,1,0.2204179338532055
Bottomland,Dry,0,0.10469944611077826
Bottomland,Dry,0.1,0.11355177442082641
Bottomland,Dry,0.2,0.12304969777211108
Bottomland,Dry,0.30000000000000004,0.13322266976453676
Bottomland,Dry,0.4,0.14409848153892904
Bottomland,Dry,0.5,0.15570266472960065
Bottomland,Dry,0.6000000000000001,0.16805784059544052
Bottomland,Dry,0.7000000000000001,0.18118302368686698
Bottomland,Dry,0.8,0.19509289201591618
Bottomland,Dry,0.9,0.20979703957557008
Bottomland,Dry,1,0.2252992310205564
Gypsic,Dry,0,0.058459162363250425
Gypsic,Dry,0.1,0.0678458651966684
Gypsic,Dry,0.2,0.07861393287196487
Gypsic,Dry,0.30000000000000004,0.09092433686467362
Gypsic,Dry,0.4,0.1049429042218965
Gypsic,Dry,0.5,0.1208355408036139
Gypsic,Dry,0.6000000000000001,0.1387618426027911
Gypsic,Dry,0.7000000000000001,0.15886700014198807
Gypsic,Dry,0.8,0.18127205740450617
Gypsic,Dry,0.9,0.20606281271551316
Gypsic,Dry,1,0.2332779377671945
Gravelly and Calcic,Dry,0,0.042442909414015365
Gravelly and Calcic,Dry,0.1,0.05074551451527003
Gravelly and Calcic,Dry,0.2,0.06056952645068121
Gravelly and Calcic,Dry,0.30000000000000004,0.07215084828982925
Gravelly and Calcic,Dry,0.4,0.08574448340945003
