Timestep,StratumID,StateClassID,TransitionGroupID,Amount
2019,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.00263578031724323
2019,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.0319280504883328
2020,Sandy and Deep Sand,Low Shrub:All,Shrub in-filling [Type],0.0160905113102948
2020,Sandy and Deep Sand,Shrubland:All,Shrub decline [Type],0.0357710501524338
1986,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0184251224746853
1986,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.370723190309551
1987,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0416489992355386
1987,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.199478193068565
1988,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.016434888091141
1988,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.360975791597971
1989,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.00976319675333731
1989,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.314405883878059
1990,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.011063883038226
1990,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.153382245502986
1991,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0400372705179676
1991,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.126513356693952
1992,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0890159617440321
1992,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.158726679282696
1993,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0456029096119191
1993,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.305526381415513
1994,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0298758698688267
1994,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.290257172265948
1995,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0499236395418373
1995,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.159843939436451
1996,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0187390894769646
1996,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.335345144612456
1997,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0152872448675847
1997,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.11380538467286
1998,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0113840541202596
1998,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0944756697721809
1999,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0111145390735953
1999,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0568150004553565
2000,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.00918327323756808
2000,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0625491550686811
2001,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.00929065665744467
2001,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0840343052269535
2002,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.00866462507982232
2002,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0755546826344089
2003,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0101440411317953
2003,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0590715935806317
2004,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0065646294822849
2004,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.117085422914409
2005,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.00996429927658121
2005,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.38609116182092
2006,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0223721502805118
2006,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.152978114080029
2007,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0291962112571824
2007,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.20739275242677
2008,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0364577040616893
2008,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.170749489332606
2009,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0210258702703942
2009,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0645268269572427
2010,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0141968891563797
2010,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0379334507822029
2011,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.00933728090929762
2011,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0664507487901288
2013,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.00634504811211098
2013,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0456347003835203
2014,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.01046512714552
2014,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0353768992569422
2015,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.0109704999069113
2015,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.00883774866141924
2016,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],6.62795506611669e-4
2016,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.00241791695093076
2017,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],5.84764982286587e-4
2017,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.00261912360975344
2018,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],5.8123090637962e-4
2018,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0202790442249058
2019,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.00305526547028233
2019,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0278170955414383
2020,Loamy-Clayey,Low Shrub:All,Shrub in-filling [Type],0.018141909647744
2020,Loamy-Clayey,Shrubland:All,Shrub decline [Type],0.0396654371747245
1986,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0375556187899652
1986,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.203747868105095
1987,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0402135211686231
1987,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0973408157031666
1988,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0178979696896083
1988,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.152922188498563
1989,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0148566768215324
1989,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.14184173966506
1990,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0201280081239373
1990,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0824405790613675
1991,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0281970939412486
1991,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0878151344797232
1992,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0598223861680691
1992,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0731378110844332
1993,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0216569689852133
1993,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.188953827525643
1994,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0161721058774389
1994,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.189369101374177
1995,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0366730651591537
1995,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.060176874540709
1996,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0173176047175072
1996,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.12459395771847
1997,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0166709805541087
1997,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0700712463852021
1998,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.014880949184724
1998,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.111959646891213
1999,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0222929668403858
1999,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0548499783700792
2000,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.00952097846735027
2000,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.046970749137201
2001,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.00951024903667991
2001,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.065518101368044
