SoilType,yearType,ProportionStart,pred
Gypsic,Dry,0.6,0.546733097
Gypsic,Dry,0.7,0.723046499
Gypsic,Dry,0.8,0.849638454
Gypsic,Dry,0.9,0.924415647
Gypsic,Dry,1,0.963598223
Bottomland,Dry,0,0.010438456
Bottomland,Dry,0.1,0.017359132
Bottomland,Dry,0.2,0.028734964
Bottomland,Dry,0.3,0.047207495
Bottomland,Dry,0.4,0.07661848
Bottomland,Dry,0.5,0.122006601
Bottomland,Dry,0.6,0.188785103
Bottomland,Dry,0.7,0.280439342
Bottomland,Dry,0.8,0.394928211
Bottomland,Dry,0.9,0.522234619
Bottomland,Dry,1,0.646716562
Gravelly and Calcic,Dry,0,0.002637251
Gravelly and Calcic,Dry,0.1,0.005745959
Gravelly and Calcic,Dry,0.2,0.012473282
Gravelly and Calcic,Dry,0.3,0.026864088
Gravelly and Calcic,Dry,0.4,0.056901338
Gravelly and Calcic,Dry,0.5,0.116503014
Gravelly and Calcic,Dry,0.6,0.223724964
Gravelly and Calcic,Dry,0.7,0.386462128
Gravelly and Calcic,Dry,0.8,0.579244605
Gravelly and Calcic,Dry,0.9,0.75055126
Gravelly and Calcic,Dry,1,0.868005273
Bedrock and Colluvium,Dry,0,0.001544991
Bedrock and Colluvium,Dry,0.1,0.003679276
Bedrock and Colluvium,Dry,0.2,0.008736113
Bedrock and Colluvium,Dry,0.3,0.020599421
Bedrock and Colluvium,Dry,0.4,0.047795876
Bedrock and Colluvium,Dry,0.5,0.106976627
Bedrock and Colluvium,Dry,0.6,0.222325645
Bedrock and Colluvium,Dry,0.7,0.405565774
Bedrock and Colluvium,Dry,0.8,0.619519837
Bedrock and Colluvium,Dry,0.9,0.7953284
Bedrock and Colluvium,Dry,1,0.902664402
Sandy and Deep Sand,Dry,0,0.003943672
Sandy and Deep Sand,Dry,0.1,0.007432471
Sandy and Deep Sand,Dry,0.2,0.013964391
Sandy and Deep Sand,Dry,0.3,0.02608593
Sandy and Deep Sand,Dry,0.4,0.048214856
Sandy and Deep Sand,Dry,0.5,0.087430724
Sandy and Deep Sand,Dry,0.6,0.153402215
Sandy and Deep Sand,Dry,0.7,0.255230538
Sandy and Deep Sand,Dry,0.8,0.393254451
Sandy and Deep Sand,Dry,0.9,0.550725445
Sandy and Deep Sand,Dry,1,0.698645697
Loamy-Clayey,Dry,0,0.012980135
Loamy-Clayey,Dry,0.1,0.020617782
Loamy-Clayey,Dry,0.2,0.032601062
Loamy-Clayey,Dry,0.3,0.051185154
Loamy-Clayey,Dry,0.4,0.079492522
Loamy-Clayey,Dry,0.5,0.121451062
Loamy-Clayey,Dry,0.6,0.181197065
Loamy-Clayey,Dry,0.7,0.261583153
Loamy-Clayey,Dry,0.8,0.361870619
Loamy-Clayey,Dry,0.9,0.475830764
Loamy-Clayey,Dry,1,0.592364706
