"Timestep","State Class","pct_area_mean","pct_area_sd"
2020,"Low Shrub:All",0.738125794821835,0
2020,"No Shrub:All",0.0359599802263575,0
2020,"Shrubland:All",0.225914224951808,0
2021,"Low Shrub:All",0.744244284836801,0.00295124396103223
2021,"No Shrub:All",0.0354034468900995,0.00148790348200835
2021,"Shrubland:All",0.220352268272879,0.00328703684688722
2022,"Low Shrub:All",0.749559075561255,0.00438012018168337
2022,"No Shrub:All",0.0346791603967003,0.00189757018987044
2022,"Shrubland:All",0.215761764041623,0.00523613364083381
2023,"Low Shrub:All",0.751749450069433,0.00667256019137788
2023,"No Shrub:All",0.0339281033610997,0.00283998402165179
2023,"Shrubland:All",0.214322446568951,0.00850107267880501
2024,"Low Shrub:All",0.756836521136371,0.00759770520447201
2024,"No Shrub:All",0.0330613038134146,0.00308026817607831
2024,"Shrubland:All",0.210102175049509,0.00975153509140395
2025,"Low Shrub:All",0.761692435130432,0.00961507311248767
2025,"No Shrub:All",0.032719602863686,0.00352983972584565
2025,"Shrubland:All",0.205587962004989,0.0120132520327062
2026,"Low Shrub:All",0.767459871510795,0.008853550929507
2026,"No Shrub:All",0.0320019604204607,0.00336001338881788
2026,"Shrubland:All",0.200538168067632,0.0110202054219912
2027,"Low Shrub:All",0.770726764342315,0.00878251291881707
2027,"No Shrub:All",0.0314764609931517,0.00339641464867982
2027,"Shrubland:All",0.197796774663291,0.0111745617078089
2028,"Low Shrub:All",0.774480021080721,0.00924403087134151
2028,"No Shrub:All",0.0302438257101873,0.0034015104959669
2028,"Shrubland:All",0.195276153207701,0.0115045815377605
2029,"Low Shrub:All",0.780499311904151,0.00979668662164493
2029,"No Shrub:All",0.0293812166511859,0.00334313678068346
2029,"Shrubland:All",0.190119471443037,0.0121553545842102
2030,"Low Shrub:All",0.784382741011322,0.00863827264857683
2030,"No Shrub:All",0.0282434686076385,0.00343284440692525
2030,"Shrubland:All",0.18737379037926,0.0110323306981814
2031,"Low Shrub:All",0.791096292565728,0.00814198051038609
2031,"No Shrub:All",0.0279262061020609,0.00322035021741666
2031,"Shrubland:All",0.180977501330169,0.0104083613365449
2032,"Low Shrub:All",0.796979204238603,0.00718984990764713
2032,"No Shrub:All",0.0275474952421296,0.00301100261824853
2032,"Shrubland:All",0.175473300516995,0.00865051548633232
2033,"Low Shrub:All",0.802231186218176,0.00653490308331931
2033,"No Shrub:All",0.0268837704199711,0.00275708204619792
2033,"Shrubland:All",0.170885043359377,0.00787120191953706
2034,"Low Shrub:All",0.806690303446088,0.0061802995256211
2034,"No Shrub:All",0.0265165378551307,0.00248592108260136
2034,"Shrubland:All",0.166793158696128,0.00713060372257294
2035,"Low Shrub:All",0.811497972161735,0.00742663160594525
2035,"No Shrub:All",0.0264662034055474,0.00286452579689619
2035,"Shrubland:All",0.162035824429871,0.00918081371478049
2036,"Low Shrub:All",0.817082229528065,0.0069283695395908
2036,"No Shrub:All",0.0263653766039088,0.00289129672107112
2036,"Shrubland:All",0.156552393864957,0.00867576407593448
2037,"Low Shrub:All",0.822452601922707,0.00778213521085901
2037,"No Shrub:All",0.0263775715332963,0.00275358909228927
2037,"Shrubland:All",0.151169826540713,0.00949580347002011
2038,"Low Shrub:All",0.826749820531298,0.00710940451881437
2038,"No Shrub:All",0.0257371798379839,0.00211144004524493
2038,"Shrubland:All",0.147512999627264,0.00833162596342368
2039,"Low Shrub:All",0.830726691462943,0.00687464418086399
2039,"No Shrub:All",0.02569459475588,0.00199345453251217
2039,"Shrubland:All",0.143578713777564,0.00814162833921847
2040,"Low Shrub:All",0.834131153786732,0.00680878979020757
2040,"No Shrub:All",0.0249414971344858,0.00212228673213206
2040,"Shrubland:All",0.140927349075035,0.00793182452721401
2041,"Low Shrub:All",0.837229005948652,0.00648642635490951
2041,"No Shrub:All",0.0247826229548168,0.002317996079771
2041,"Shrubland:All",0.137988371092661,0.00784213829340048
2042,"Low Shrub:All",0.840536722642396,0.00507286036420006
2042,"No Shrub:All",0.0237853352334175,0.00227896136544157
2042,"Shrubland:All",0.135677942120188,0.00615623863318145
2043,"Low Shrub:All",0.845339739308291,0.00683786986823084
2043,"No Shrub:All",0.0234534849686823,0.00211928240413297
2043,"Shrubland:All",0.13120677571884,0.00792892733015935
2044,"Low Shrub:All",0.848304540417914,0.00825866582820278
2044,"No Shrub:All",0.0231623735417613,0.0023313524250206
2044,"Shrubland:All",0.128533086036018,0.00965089866799205
2045,"Low Shrub:All",0.852798128970129,0.00773078668185917
2045,"No Shrub:All",0.0231177600202074,0.00254926226763849
2045,"Shrubland:All",0.124084111005178,0.00940294042754813
2046,"Low Shrub:All",0.855289222663327,0.00795046732369601
