"Timestep","State Class","pct_area_mean","pct_area_sd"
1985,"Low Shrub:All",0.729917781392632,0
1985,"No Shrub:All",0.0257976200457855,0
1985,"Shrubland:All",0.244284598561583,0
1986,"Low Shrub:All",0.733426714421325,0.00249268441772446
1986,"No Shrub:All",0.0261463658750408,0.000417135379146533
1986,"Shrubland:All",0.240426919703562,0.00246647749588931
1987,"Low Shrub:All",0.729508303843354,0.00618692134066074
1987,"No Shrub:All",0.0238769429599514,0.000959429770085552
1987,"Shrubland:All",0.246614753196729,0.0065515020553168
1988,"Low Shrub:All",0.736137802697296,0.00587377572709864
1988,"No Shrub:All",0.0243208918335682,0.000958969144090684
1988,"Shrubland:All",0.239541305469002,0.00630872770161749
1989,"Low Shrub:All",0.743679321937645,0.00556871536639517
1989,"No Shrub:All",0.0244648017174154,0.00107590175353051
1989,"Shrubland:All",0.231855876344604,0.00594954997780711
1990,"Low Shrub:All",0.749381447426338,0.00718911282889207
1990,"No Shrub:All",0.0245539801751473,0.000973320116136166
1990,"Shrubland:All",0.226064572398032,0.00745568206078969
1991,"Low Shrub:All",0.754503196305495,0.00625067619993359
1991,"No Shrub:All",0.0247364182621987,0.000917668166230509
1991,"Shrubland:All",0.220760385431694,0.00643477887128948
1992,"Low Shrub:All",0.748910047815285,0.00920345555413839
1992,"No Shrub:All",0.0222537541316463,0.00062345449191565
1992,"Shrubland:All",0.228836198052617,0.00926640324248346
1993,"Low Shrub:All",0.754652985019855,0.00873558776869636
1993,"No Shrub:All",0.0225371283374323,0.000590846394861678
1993,"Shrubland:All",0.222809886642112,0.00889347550985646
1994,"Low Shrub:All",0.760584652117657,0.00845224432732047
1994,"No Shrub:All",0.0226197234767099,0.000478974166340653
1994,"Shrubland:All",0.216795624404867,0.00866294934482006
1995,"Low Shrub:All",0.768130373992973,0.00896369036924533
1995,"No Shrub:All",0.0226390361636882,0.000562675290408615
1995,"Shrubland:All",0.209230589842311,0.0092201874002708
1996,"Low Shrub:All",0.77492168644174,0.00795290061371992
1996,"No Shrub:All",0.022756054041894,0.000555988739695517
1996,"Shrubland:All",0.202322259515075,0.00829703449148331
1997,"Low Shrub:All",0.782439981872247,0.00745176021017585
1997,"No Shrub:All",0.0230333064902981,0.000569637051553615
1997,"Shrubland:All",0.19452671163587,0.00776885076622858
1998,"Low Shrub:All",0.788930356501796,0.00587382055360729
1998,"No Shrub:All",0.0230750656210094,0.000682971661078717
1998,"Shrubland:All",0.187994577875355,0.00616894018495715
1999,"Low Shrub:All",0.79480799666137,0.00607975679090645
1999,"No Shrub:All",0.0230430721508835,0.000738840308942426
1999,"Shrubland:All",0.182148931185676,0.00614554886786748
2000,"Low Shrub:All",0.80241930879431,0.00612867600752955
2000,"No Shrub:All",0.0230767904018592,0.000654854342255536
2000,"Shrubland:All",0.17450390080146,0.00625561805090037
2001,"Low Shrub:All",0.808721682311257,0.00684745918087448
2001,"No Shrub:All",0.0231591183215684,0.000545774595511089
2001,"Shrubland:All",0.168119199364555,0.00679749547595923
2002,"Low Shrub:All",0.815733912464874,0.00655823663538584
2002,"No Shrub:All",0.0246420897546077,0.000723469123280101
2002,"Shrubland:All",0.159623997777605,0.00669054762708448
2003,"Low Shrub:All",0.8205008666354,0.00674625107659686
2003,"No Shrub:All",0.02477254148929,0.000788172851366599
2003,"Shrubland:All",0.154726591872208,0.00665900314188203
2004,"Low Shrub:All",0.826135482744001,0.00598148057277642
2004,"No Shrub:All",0.024816219742355,0.000852769249570491
2004,"Shrubland:All",0.149048297510318,0.00585986208171225
2005,"Low Shrub:All",0.821866698726736,0.00565070963287034
2005,"No Shrub:All",0.0219476419698723,0.0010979057055367
2005,"Shrubland:All",0.156185659300233,0.005047090433221
2006,"Low Shrub:All",0.828282178999116,0.00656722887481456
2006,"No Shrub:All",0.0221123706873548,0.00118489085897544
2006,"Shrubland:All",0.149605450310121,0.00588609327014985
2007,"Low Shrub:All",0.823470307648434,0.0105961061612799
2007,"No Shrub:All",0.0197858356627245,0.00130003990410689
2007,"Shrubland:All",0.15674385668562,0.00979087988735069
2008,"Low Shrub:All",0.82923877646804,0.0104403970450921
2008,"No Shrub:All",0.0199570991132851,0.00123919719573214
2008,"Shrubland:All",0.150804124415229,0.00958006585620409
2009,"Low Shrub:All",0.833292837415879,0.0106774004861651
2009,"No Shrub:All",0.0202274767309787,0.00114394848289068
2009,"Shrubland:All",0.146479685849538,0.00997638418136202
2010,"Low Shrub:All",0.839133576982352,0.0112218868129314
2010,"No Shrub:All",0.0202636485434445,0.00100344708617917
2010,"Shrubland:All",0.140602774470374,0.0105270328629978
2011,"Low Shrub:All",0.84539188356321,0.0105155103479895
2011,"No Shrub:All",0.0219482007016968,0.0011344271866803
2011,"Shrubland:All",0.132659915730999,0.00965831880403264
2012,"Low Shrub:All",0.851265442551178,0.00987826019479685
2012,"No Shrub:All",0.023628647395673,0.00120404739597126
2012,"Shrubland:All",0.125105910048804,0.0089090170944855
2013,"Low Shrub:All",0.856338897566459,0.00955091691243122
2013,"No Shrub:All",0.0252675778858179,0.00101931189051223
2013,"Shrubland:All",0.11839352454316,0.00872909544247432
2014,"Low Shrub:All",0.86129990172891,0.00931397823009571
2014,"No Shrub:All",0.0251313930767622,0.00113541625622179
2014,"Shrubland:All",0.113568705189575,0.00831450912151905
2015,"Low Shrub:All",0.853629947047084,0.00923648306819412
2015,"No Shrub:All",0.0223568037142401,0.00131925118815367
2015,"Shrubland:All",0.124013249234226,0.00810750955766831
2016,"Low Shrub:All",0.857266392395143,0.00897015015675207
2016,"No Shrub:All",0.0225012480372235,0.00143760975226584
2016,"Shrubland:All",0.120232359563045,0.00772597811241715
2017,"Low Shrub:All",0.861198844146746,0.00806885046296571
2017,"No Shrub:All",0.0225790089315844,0.0014091143763791
2017,"Shrubland:All",0.116222146916929,0.00678313047645945
2018,"Low Shrub:All",0.865791886963729,0.00772789245213696
2018,"No Shrub:All",0.0225802235659855,0.00121778350467823
2018,"Shrubland:All",0.111627889465369,0.00657299892486938
2019,"Low Shrub:All",0.869971395352514,0.00735631177233886
2019,"No Shrub:All",0.022773811996839,0.00111809552741275
2019,"Shrubland:All",0.107254792645568,0.0064649395651252
2020,"Low Shrub:All",0.873395984168332,0.00713103813018136
2020,"No Shrub:All",0.0227200036928685,0.000947341712882597
2020,"Shrubland:All",0.103884012133588,0.0063693501819937
